Code List Name,Attribute Value,Code
Primary Detail Size,Large,GM03PDSZLG
Primary Detail Size,Small,GM03PDSZSM
Primary Detail Size,Medium,GM03PDSZMD
Primary Detail Size,Other,GM04PDSZ99
Primary Detail Type,Brand,GM03PDTPBR
Primary Detail Type,Player Name,GM03PDTPPN
Primary Detail Type,League,GM03PDTPLE
Primary Detail Type,Script,GM03PDTPSC
Primary Detail Type,Letter,GM03PDTPLT
Primary Detail Type,Team,GM03PDTPTE
Primary Detail Type,Mascot,GM03PDTPMA
Primary Detail Type,Wordmark,GM03PDTPWM
Primary Detail Type,Number,GM03PDTPNU
Primary Detail Type,Other,GM04PDTP99
Primary Detail Type,Patch,GM03PDTPPA
Primary Motif Theme,Americana,GM03PMTTAM
Primary Motif Theme,Character,GM03PMTTCH
Primary Motif Theme,Animal,GM03PMTTAN
Primary Motif Theme,Other,GM04PMTT99
Ring Type,Band,JW03RINGBA
Ring Type,Stacked,JW03RINGST
Ring Type,Midi,JW03RINGMI
Ring Type,Toe,JW03RINGTE
Ring Type,Signet,JW03RINGSI
Ring Type,Other,JW04RING99
Rug Type,Accent,GM03RUGTAC
Rug Type,Outdoor,GM03RUGTUT
Rug Type,Bath,GM03RUGTBA
Rug Type,Rug Pad,GM03RUGTRP
Rug Type,Dining Room,GM03RUGTDR
Rug Type,Runners,GM03RUGTRU
Rug Type,Doormat  GM03RU GTDM  Other,GM04RUGT99
Rug Type,Kitchen,GM03RUGTKI
Scent Type,Aquatic,GM03SCTPAQ
Scent Type,Oriental,GM03SCTPOR
Scent Type,Citrus,GM03SCTPCI
Scent Type,Powdery,GM03SCTPPW
Scent Type,Earthy,GM03SCTPEA
Scent Type,Spicy,GM03SCTPSP
Scent Type,Earthy and Woody,GM03SCTPEW
Scent Type,Sweet,GM03SCTPSW
Scent Type,Floral,GM03SCTPFL
Scent Type,Unscented,GM03SCTPUS
Scent Type,Fresh and Clean,GM03SCTPFC
Scent Type,Vanilla,GM03SCTPVA
Scent Type,Fruity,GM03SCTPFR
Scent Type,Warm and Spicy,GM03SCTPWS
Scent Type,Mixed,GM03SCTPMI
Scent Type,Woody,GM03SCTPWD
Scent Type,Musk,GM03SCTPMU
Scent Type,Other,GM04SCTP99
Seams,Flat,IA03SEAMFL
Seams,Other,IA04SEAM99
Seams,Raised,IA03SEAMRA
Secondary Detail Application,Applique,GM03SDAPAP
Secondary Detail Application,Logo Pin,GM03SDAPLP
Secondary Detail Application,Banded,GM03SDAPBA
Secondary Detail Application,Metallic Ink,GM03SDAPMI
Secondary Detail Application,Bling,GM03SDAPBL
Secondary Detail Application,Patch,GM03SDAPPA
Secondary Detail Application,Cut,GM03SDAPCU
Secondary Detail Application,Printed,GM03SDAPPR
Secondary Detail Application,Decal,GM03SDASDE
Secondary Detail Application,Printed Tackle Twill,GM03SDAPPT
Secondary Detail Application,Embossed,GM03SDAPEM
Secondary Detail Application,Raised E mbroidery,GM03SDAPRE
Secondary Detail Application,Etched,GM03SDAPET
Secondary Detail Application,Reactive Glaze,GM03SDAPRG
Secondary Detail Application,Fabric Applique,GM03SDAPFA
Secondary Detail Application,Reflective Applique,GM03SDAPRA
Secondary Detail Application,Felt Applique,GM03SDAPFE
Secondary Detail Application,Reflective Screen Print,GM03SDAPRS
Secondary Detail Application,Flat Embroidered,GM03SDAPFM
Secondary Detail Application,Rhinestone,GM03SDAPRH
Secondary Detail Application,Foil,GM03SDAPFL
Secondary Detail Application,Screen Print,GM03SDAPSP
Secondary Detail Application,Glitter,GM03SDAPGL
Secondary Detail Application,Sequins,GM03SDAPSE
Secondary Detail Application,Hand Painted,GM03SDAPHP
Secondary Detail Application,Tackle Twill,GM03SDAPTT
Secondary Detail Application,Heat Seal,GM03SDAPHS
Secondary Detail Application,Woven,GM03SDAPWV
Secondary Detail Application,High-Density Ink,GM03SDAPHD
Secondary Detail Application,Other,GM04SDAP99
Secondary Detail Application,Jacquard Knit,GM03SDAPJN
Secondary Detail Placement,All Over,GM03SDPLAA
Secondary Detail Placement,Front Pocket,GM03SDPLFP
Secondary Detail Placement,Back Bottom,GM03SDPLBB
Secondary Detail Placement,Front Right,GM03SDPLFR
Secondary Detail Placement,Back Center,GM03SDPLBC
Secondary Detail Placement,Front Top,GM03SDPLFT
Secondary Detail Placement,Back Left,GM03SDPLBL
Secondary Detail Placement,Full Body,GM03SDPLFD
Secondary Detail Placement,Back Pocket,GM03SDPLBP
Secondary Detail Placement,Full Front,GM03SDPLFF
Secondary Detail Placement,Back Right,GM03SDPLBR
Secondary Detail Placement,Hem,GM03SDPLHE
Secondary Detail Placement,Back Top,GM03SDPLBT
Secondary Detail Placement,Left Leg,GM03SDPLLL
Secondary Detail Placement,Bill,GM03SDPLBI
Secondary Detail Placement,Left Sleeve,GM03SDPLLS
Secondary Detail Placement,Collar,GM03SDPLCL
Secondary Detail Placement,Leg,GM03SDPLLE
Secondary Detail Placement,Cuff,GM03SDPLCU
Secondary Detail Placement,Right Leg,GM03SDPLRL
Secondary Detail Placement,Front Bottom,GM03SDPLFB
Secondary Detail Placement,Right Sleeve,GM03SDPLRS
Secondary Detail Placement,Front Center,GM03SDPLFC
Secondary Detail Placement,Sleeve,GM03SDPLSL
Secondary Detail Placement,Front Left,GM03SDPLFL
Secondary Detail Placement,Other,GM04SDPL99
Secondary Detail Size,Large,GM03SDSZLG
Secondary Detail Size,Small,GM03SDSZSM
Secondary Detail Size,Medium,GM03SDSZMD
Secondary Detail Size,Other,GM04SDSZ99
Secondary Detail Type,Brand,GM03SDTPBR
Secondary Detail Type,Player Name,GM03SDTPPN
Secondary Detail Type,League,GM03SDTPLE
Secondary Detail Type,Script,GM03SDTPSC
Secondary Detail Type,Letter,GM03SDTPLT
Secondary Detail Type,Team,GM03SDTPTE
Secondary Detail Type,Mascot,GM03SDTPMA
Secondary Detail Type,Wordmark,GM03SDTPWM
Secondary Detail Type,Number,GM03SDTPNU
Secondary Detail Type,Other,GM04SDTP99
Secondary Detail Type,Patch,GM03SDTPPA
Secondary Mo tif Theme,Americana,GM03SMTTAM
Secondary Mo tif Theme,Character,GM03SMTTCH
Secondary Mo tif Theme,Animal,GM03SMTTAN
Secondary Mo tif Theme,Other,GM04SMTT99
Selling Channel,In store only,ZZ03SELCIS
Selling Channel,Online only,ZZ03SELCON
Selling Channel,No restrictions,ZZ03SELCNR
Selling Channel,Other,ZZ04SELC99
Shape,Bedrest,GM03SHPEBE
Shape,Rectangular,GM03SHPERE
Shape,Bolster,GM03SHPEBL
Shape,Round,GM03SHPERO
Shape,Breakfast /Boudoir,GM03SHPEBB
Shape,Shaped/Novelty,GM03SHPESN
Shape,Figure/Shaped,GM03SHPEFS
Shape,Soft Square,GM03SHPESS
Shape,Lumbar,GM03SHPELU
Shape,Square,GM03SHPESQ
Shape,Neckroll,GM03SHPENE
Shape,Triangle,GM03SHPETR
Shape,Oval/Oblong,GM03SHPEVB
Shape,Other,GM04SHPE99
Shoe Style,Alpine Boot,GM03SHOEAB
Shoe Style,Hiking,GM03SHOEHK
Shoe Style,Ankle Strap,GM03SHOEAS
Shoe Style,High Top,GM03SHOEHT
Shoe Style,Athleisure,GM03SHOEAT
Shoe Style,Huarache,GM03SHOEHU
Shoe Style,Ballet,GM03SHOEBA
Shoe Style,Instep Strap,GM03SHOEIS
Shoe Style,Baseball,GM03SHOEBB
Shoe Style,Insulate d,GM03SHOEIN
Shoe Style,Basketball,GM03SHOEBK
Shoe Style,Loafer,GM03SHOELF
Shoe Style,Biker Boot,GM03SHOEBI
Shoe Style,Low Top,GM03SHOELT
Shoe Style,Boat Shoe,GM03SHOEBS
Shoe Style,Jellies,GM03SHOEJE
Shoe Style,Bootie,GM03SHOEBT
Shoe Style,Mary Jane,GM03SHOEMJ
Shoe Style,Caged,GM03SHOECA
Shoe Style,Military & Police,GM03SHOEMP
Shoe Style,Chelsea,GM03SHOECH
Shoe Style,Moccasin,GM03SHOEMC
Shoe Style,Chukka,GM03SHOECK
Shoe Style,Monk Strap,GM03SHOEMS
Shoe Style,Cleats,GM03SHOECL
Shoe Style,Penny Loafer,GM03SHOEPE
Shoe Style,Climbing,GM03SHOECM
Shoe Style,Platform,GM03SHOEPL
Shoe Style,Combat Boot,GM03SHOECB
Shoe Style,Rain Boot,GM03SHOERA
Shoe Style,Comfort,GM03SHOECF
Shoe Style,Riding Boot,GM03SHOERI
Shoe Style,Cowboy,GM03SHOECW
Shoe Style,Running,GM03SHOE
Shoe Style,Cross -Fit,GM03SHOECR
Shoe Style,Slide,GM03SHOESL
Shoe Style,Cross -Training,GM03SHOECT
Shoe Style,Sling Back,GM03SHOESB
Shoe Style,Cycling,GM03SHOECY
Shoe Style,Slipper,GM03SHOESP
Shoe Style,Dance,GM03SHOEDA
Shoe Style,Smoking Slipper,GM03SHOESM
Shoe Style,D'Orsay,GM03SHOEDR
Shoe Style,Sneaker,GM03SHOESN
Shoe Style,Driver,GM03SHOEDV
Shoe Style,Snow Boot,GM03SHOESW
Shoe Style,Espadrille,GM03SHOEES
Shoe Style,Soccer,GM03SHOESR
Shoe Style,Fisherman,GM03SHOEFI
Shoe Style,Steel Toe,GM03SHOEST
Shoe Style,Flatform,GM03SHOEFL
Shoe Style,Tennis,GM03SHOETE
Shoe Style,Flip-Flop,GM03SHOEFP
Shoe Style,Thong,GM03SHOETH
Shoe Style,Football,GM03SHOEFT
Shoe Style,Walking,GM03SHOEWA
Shoe Style,Gladiator,GM03SHOEGL
Shoe Style,Water Shoe,GM03SHOEWS
Shoe Style,Golf GM03SH OEGF  Wingtip,GM03SHOEWT
Shoe Style,Hand-Sewn,GM03SHOEHS
Shoe Style,Other,GM04SHOE99
Shoe Type,Boots/Booties,GM03SETPBB
Shoe Type,Pumps,GM03SETPPP
Shoe Type,Clogs/Mules,GM03SETPCM
Shoe Type,Sandals,GM03SETPSA
Shoe Type,Flats GM03SE TPFL Slippers,GM03SETPSL
Shoe Type,Loafers/Mocs,GM03SETPLM
Shoe Type,Sneakers,GM03SETPSN
Shoe Type,Oxfords,GM03SETPXF
Shoe Type,Other,GM04SETP99
Skin Type,Aging,GM03SKTPAG
Skin Type,Oily,GM03SKTPLY
Skin Type,All,GM03SKTPAL
Skin Type,Sensitive,GM03SKTPSE
Skin Type,Combination,GM03SKTPCM
Skin Type,Other,GM04SKTP99
Skin Type,Dry,GM03SKTPDR
Skirt Type,A-line,GM03SKRTAL
Skirt Type,Pencil,GM03SKRTPE
Skirt Type,Circular,GM03SKRTCI
Skirt Type,Skort,GM03SKRTSK
Skirt Type,Faux Wr ap,GM03SKRTFW
Skirt Type,Straight,GM03SKRTST
Skirt Type,Flared,GM03SKRTFL
Skirt Type,Tiered,GM03SKRTTI
Skirt Type,Full,GM03SKRTFU
Skirt Type,Wrap,GM03SKRTWR
Skirt Type,Mermaid/Trumpet,GM03SKRTMT
Skirt Type,Other,GM04SKRT99
Sleeve Type,1/2 Sleeve,GM03SLVTHT
Sleeve Type,Roll-Tab (Long to elbow/short),GM03SLVTRT
Sleeve Type,1/4 sleeve,GM03SLVTQS
Sleeve Type,Short,GM03SLVTST
Sleeve Type,3/4 Sleeve,GM03SLVTTT
Sleeve Type,Sleeveless,GM03SLVTS4
Sleeve Type,Cap,GM03SLVTCS
Sleeve Type,Spaghetti Strap,GM03SLVTSI
Sleeve Type,Elbow,GM03SLVTES
Sleeve Type,Other Sleeve Type,GM04SLVT99
Sleeve Type,Long,GM03SLVTLO
Sleeve Type,Roll-Tab (3/4 to short),GM03SLVTTR
Sole Type,Leather,GM03SOLTLS
Sole Type,Rubber,GM03SOLTRS
Sole Type,Synthetic,GM03SOLTSJ
Sole Type,Recycled,GM03SOLTRE
Sole Type,Natural Fiber,GM03SOLTNS
Sole Type,Other Sole Type,GM04SOLT99
Special Embellishment,Beads,GM03SPEMBE
Special Embellishment,Logo,GM03SPEMLG
Special Embellishment,Belting,GM03SPEMBL
Special Embellishment,Bows,GM03SPEMBW
Special Embellishment,Metal Ornament,GM03SPEMMR
Special Embellishment,Braiding,GM03SPEMBR
Special Embellishment,Nailheads,GM03SPEMNA
Special Embellishment,Broguing,GM03SPEMBG
Special Embellishment,Penny Keeper,GM03SPEMPK
Special Embellishment,Buckle(s),GM03SPEMBU
Special Embellishment,Perforation,GM03SPEMPE
Special Embellishment,Chain,GM03SPEMCH
Special Embellishment,Piping,GM03SPEMPI
Special Embellishment,Contrast Stitching,GM03SPEMCS
Special Embellishment,Pleated,GM03SPEMPL
Special Embellishment,Crochet,GM03SPEMCR
Special Embellishment,Quilting,GM03SPEMQU
Special Embellishment,Cuff,GM03SPEMCF
Special Embellishment,Rhinestones,GM03SPEMRH
Special Embellishment,Cut-outs,GM03SPEMCU
Special Embellishment,Ruffles,GM03SPEMRU
Special Embellishment,Embroidery,GM03SPEMEM
Special Embellishment,Sequins,GM03SPEMSE
Special Embellishment,Feathers,GM03SPEMFE
Special Embellishment,Speed Lacing,GM03SPEMSL
Special Embellishment,Filigree,GM03SPEMFI
Special Embellishment,Stones,GM03SPEM
Special Embellishment,Flower,GM03SPEMFL
Special Embellishment,Studded,GM03SPEMST
Special Embellishment,Fringe,GM03SPEMFR
Special Embellishment,Tassels,GM03SPEMTA
Special Embellishment,Glitter,GM03SPEMGL
Special Embellishment,Tortoise,GM03SPEMTS
Special Embellishment,Grommets,GM03SPEMGR
Special Embellishment,Wood,GM03SPEMWD
Special Embellishment,Harness,GM03SPEMHA
Special Embellishment,Zipper,GM03SPEMZI
Special Embellishment,Jewels,GM03SPEMJE
Special Embellishment,Other,GM04SPEM99
Special Embellishment,Knotting,GM03SPEMKN
Special Embellishment,Lace,GM03SPEMLA
SPF Rating,10,GM03SPFRRA
SPF Rating,50,GM03SPFRRE
SPF Rating,15,GM03SPFRRB
SPF Rating,60,GM03SPFRRF
SPF Rating,30,GM03SPFRRC
SPF Rating,80,GM03SPFRRG
SPF Rating,40,GM03SPFRRD
SPF Rating,Other,GM04SPFR99
Sport,Badminton,ZZ03SPRTBD
Sport,Hunting,ZZ03SPRTHU
Sport,Baseball,ZZ03SPRTBA
Sport,Lacrosse,ZZ03SPRTLA
Sport,Basketball,ZZ03SPRTBK
Sport,Racing,ZZ03SPRTRA
Sport,Bocce Ball,ZZ03SPRTBB
Sport,Racquetball,ZZ03SPRTRC
Sport,Bowling,ZZ03SPRTBW
Sport,Rowing,ZZ03SPRTRW
Sport,Boxing/Martial Arts,ZZ03SPRTBM
Sport,Running,ZZ03SPRTRU
Sport,Climbing,ZZ03SPRTCL
Sport,Skiing,ZZ03SPRTSK
Sport,Cross Country,ZZ03SPRTCC
Sport,Soccer,ZZ03SPRTSC
Sport,Cross -Training,ZZ03SPRTCT
Sport,Softball,ZZ03SPRTSF
Sport,Cycling,ZZ03SPRTCY
Sport,Tennis,ZZ03SPRTTE
Sport,Dance,ZZ03SPRTDA
Sport,Water  Skiing,ZZ03SPRTWA
Sport,Football,ZZ03SPRTFT
Sport,Wrestling,ZZ03SPRTWR
Sport,Golf,ZZ03SPRTGF
Sport,Yoga,ZZ03SPRTYG
Sport,Hiking,ZZ03SPRTHI
Sport,Other,ZZ04SPRT99
Sport,Hockey,ZZ03SPRTHK
Supply Type,Evergreen,ZZ03SUTYEV
Supply Type,Perennial,ZZ03SUTYPE
Supply Type,Made To Order,ZZ03SUTYMT
Supply Type,Seasonal with Limited Replenishment,ZZ03SUTYSL
Supply Type,Made to Stock,ZZ03SUTYMS
Supply Type,Other,ZZ04SUTY99
Sweater/Pullover Type,Babydoll,GM03SWPUBA
Sweater/Pullover Type,Hoodie,GM03SWPUHD
Sweater/Pullover Type,Blouse,GM03SWPUBL
Sweater/Pullover Type,Peasant,GM03SWPUPE
Sweater/Pullover Type,Box Top,GM03SWPUBT
Sweater/Pullover Type,Peplum,GM03SWPUPP
Sweater/Pullover Type,Bustier/Bra Top,GM03SWPUBB
Sweater/Pullover Type,Pullover,GM03SWPUPU
Sweater/Pullover Type,Button Front,GM03SWPUBF
Sweater/Pullover Type,Racerback,GM03SWPURA
Sweater/Pullover Type,Cami,GM03SWPUCA
Sweater/Pullover Type,Sweat er,GM03SWPUSW
Sweater/Pullover Type,Camisole,GM03SWPUCM
Sweater/Pullover Type,Sweatshirt,GM03SWPUSS
Sweater/Pullover Type,Cardigan,GM03SWPUCR
Sweater/Pullover Type,Tank,GM03SWPUTA
Sweater/Pullover Type,Cocoon,GM03SWPUCC
Sweater/Pullover Type,T-Shirt,GM03SWPUTS
Sweater/Pullover Type,Dress Shirt,GM03SWPUDS
Sweater/Pullover Type,Tunic,GM03SWPUTU
Sweater/Pullover Type,Drop Waist,GM03SWPUDW
Sweater/Pullover Type,Vest,GM03SWPUVE
Sweater/Pullover Type,Faux Wrap,GM03SWPUFW
Sweater/Pullover Type,Wrap,GM03SWPUWR
Sweater/Pullover Type,Flyaw ay/Apron,GM03SWPUFA
Sweater/Pullover Type,Other,GM04SWPU99
Tableware Type,Dinnerware,GM03TBLTDI
Tableware Type,Glassware,GM03TBLTGL
Tableware Type,Flatware,GM03TBLTFL
Tableware Type,Other,GM04TBLT99
Third Detail Application,Applique,GM03TDAPAP
Third Detail Application,Logo Pin,GM03TDAPLP
Third Detail Application,Banded,GM03TDAPBA
Third Detail Application,Metallic Ink,GM03TDAPMI
Third Detail Application,Bling,GM03TDAPBL
Third Detail Application,Patch,GM03TDAPPA
Third Detail Application,Cut,GM03TDAPCU
Third Detail Application,Printed,GM03TDAPPR
Third Detail Application,Decal,GM03TDATDE
Third Detail Application,Printed Tackle Twill,GM03TDAPPT
Third Detail Application,Embossed,GM03TDAPEM
Third Detail Application,Raised Embroidery,GM03TDAPRE
Third Detail Application,Etched,GM03TDAPET
Third Detail Application,Reactive Glaze,GM03TDAPRG
Third Detail Application,Fabric Applique,GM03TDAPFA
Third Detail Application,Reflective Applique,GM03TDAPRA
Third Detail Application,Felt Applique,GM03TDAPFE
Third Detail Application,Reflective Screen Print,GM03TDAPRS
Third Detail Application,Flat Embroidered,GM03TDAPFM
Third Detail Application,Rhinestone,GM03TDAPRH
Third Detail Application,Foil,GM03TDAPFL
Third Detail Application,Screen Print,GM03TDAPSP
Third Detail Application,Glitter,GM03TDAPGL
Third Detail Application,Sequins,GM03TDAPSE
Third Detail Application,Hand Painted,GM03TDAPHP
Third Detail Application,Tackle Twill,GM03TDAPTT
Third Detail Application,Heat Seal,GM03TDAPHS
Third Detail Application,Woven,GM03TDAPWV
Third Detail Application,High Density Ink,GM03TDAPHD
Third Detail Application,Other,GM04TDAP99
Third Detail Application,Jacquard Knit,GM03TDAPJN
Third Detail Placement,All Over,GM03TDPLAA
Third Detail Placement,Front Pocket,GM03TDPLFP
Third Detail Placement,Back Bottom,GM03TDPLBB
Third Detail Placement,Front Right,GM03TDPLFR
Third Detail Placement,Back Center,GM03TDPLBC
Third Detail Placement,Front Top,GM03TDPLFT
Third Detail Placement,Back Left,GM03TDPLBL
Third Detail Placement,Full Body,GM03TDPLFD
Third Detail Placement,Back Pocket,GM03TDPLBP
Third Detail Placement,Full Front,GM03TDPLFF
Third Detail Placement,Back Right,GM03TDPLBR
Third Detail Placement,Hem,GM03TDPLHE
Third Detail Placement,Back Top,GM03TDPLBT
Third Detail Placement,Left Leg,GM03TDPLLL
Third Detail Placement,Bill,GM03TDPLBI
Third Detail Placement,Left Sleeve,GM03TDPLLS
Third Detail Placement,Collar,GM03TDPLCL
Third Detail Placement,Leg,GM03TDPLLE
Third Detail Placement,Cuff,GM03TDPLCU
Third Detail Placement,Right Leg,GM03TDPLRL
Third Detail Placement,Front Bottom,GM03TDPLFB
Third Detail Placement,Right Sleeve,GM03TDPLRS
Third Detail Placement,Front Center,GM03TDPLFC
Third Detail Placement,Sleeve,GM03TDPLSL
Third Detail Placement,Front Left,GM03TDPLFL
Third Detail Placement,Other,GM04TDPL99
Third Detail Size,Medium  GM03 TDSZMD  Other,GM04TDSZ99
Third Detail Type,Brand,GM03TDTPBR
Third Detail Type,Player Name,GM03TDTPPN
Third Detail Type,League,GM03TDTPLE
Third Detail Type,Script,GM03TDTPSC
Third Detail Type,Letter,GM03TDTPLT
Third Detail Type,Team,GM03TDTPTE
Third Detail Type,Mascot,GM03TDTPMA
Third Detail Type,Wordmark,GM03TDTPWM
Third Detail Type,Number,GM03TDTPNU
Third Detail Type,Other,GM04TDTP99
Third Detail Type,Patch,GM03TDTPPA
Third Motif Theme,Animal  GM03 TMTTAN  Other,GM04TMTT99
Toe Shape,Almond,GM03TOESAL
Toe Shape,Round,GM03TOESRD
Toe Shape,Apron Toe,GM03TOESAP
Toe Shape,Snip,GM03TOESSN
Toe Shape,Cap Toe,GM03TOESCT
Toe Shape,Split Toe,GM03TOESSP
Toe Shape,Oblique,GM03TOESOB
Toe Shape,Square,GM03TOESSQ
Toe Shape,Open Toe,GM03TOESOT
Toe Shape,Steel Toe,GM03TOESST
Toe Shape,Peep Toe,GM03TOESPT
Toe Shape,Other,GM04TOES99
Towel Type,Bath,GM03TOWLBA
Towel Type,Towel Set,GM03TOWLTS
Towel Type,Beach,GM03TOWLBE
Towel Type,Wash,GM03TOWLWA
Towel Type,Hand,GM03TOWLHA
Towel Type,Other,GM04TOWL99
Towel Type,Kitchen,GM03TOWLKI
Waist Rise,Classic,GM03WSDRCL
Waist Rise,Mid,GM03WSDRMI
Waist Rise,High,GM03WSDRHI
Waist Rise,Other,GM04WSDR99
Waist Rise,Low,GM03WSDRLW
Waistband Type,Band Roll,GM03WBTPBR
Waistband Type,Knit,GM03WBTPKN
Waistband Type,Belt Hook,GM03WBTPBH
Waistband Type,Maternity,GM03WBTPMT
Waistband Type,Drawstring,GM03WBTPDS
Waistband Type,None,GM03WBTPNN
Waistband Type,D-ring,GM03WBTPDR
Waistband Type,Rigid,GM03WBTPRG
Waistband Type,Expander,GM03WBTPEX
Waistband Type,Self Fabric Underwear,GM03WBTPSF
Waistband Type,Full Elastic,GM03WBTPFE
Waistband Type,Side Ela stic,GM03WBTPSE
Waistband Type,Half Elastic,GM03WBTPHE
Waistband Type,Side Tab,GM03WBTPST
Waistband Type,Hook and Loop,GM03WBTPVE
Waistband Type,Stretch Elastic,GM03WBTPSR
Waistband Type,Ino-Flex,GM03WBTPIF
Waistband Type,Other,GM04WBTP99
Waistband Type,Inside Adjustable,GM03WBTPIA
Watch Case Sh ape,Oval,JW03WACSVA
Watch Case Sh ape,Square,JW03WACSSQ
Watch Case Sh ape,Rectangular,JW03WACSRE
Watch Case Sh ape,Other,JW04WACS99
Watch Case Sh ape,Round,JW03WACSRN
Water Repellent,Waterproof,ZZ03WATRPF
Water Repellent,Other,ZZ04WATR99
Water Repellent,Water Resistant,ZZ03WATRRE
Water Repellent,Code,GM03CLNTBL
Water Repellent,Code,GM04CLNT99
Water Repellent,Advertised Origin,GM03ADVOIM
Water Repellent,Boot Shaft Type,GM03BTSTTL
Water Repellent,Closure,GM03CLOSZS
Water Repellent,Gender,ZZ03GENDFE
Water Repellent,Heel Height Range,GM03HLHTLW
Water Repellent,Heel Material,GM03HLMTLE
Water Repellent,Heel Type,GM03HLTYSA
Water Repellent,Lined,GM03LINDFL
Water Repellent,Lining Material,GM03LIMTLE
Water Repellent,Shoe Type,GM03SETPBB
Water Repellent,Sole Type,GM03SOLTSJ
Water Repellent,Toe Shape,GM03TOESPY
Water Repellent,Advertised Origin,GM03ADVOMU
Water Repellent,Dinnerware Category,GM03DNRCFC
Water Repellent,PID04 –,GM03ADVOMU
Water Repellent,PID04 -,GM04BGST99
Water Repellent,PID04 -,JW04WBND99
Water Repellent,PID04 -,GM04BAOU99
Water Repellent,PID04 -,GM04BTSP99
Water Repellent,PID04 -,GM04BDSZ99
Water Repellent,PID04 -,GM04BEDT9
Water Repellent,PID04 -,GM04BILL99
Water Repellent,PID04 -,JW04BRTT99
Water Repellent,PID04 -,GM04CAIN99
Water Repellent,PID04 -,GM04CLOS99
Water Repellent,PID04 -,GM04COAT99
Water Repellent,PID04 –,GM03CLNTBD
Water Repellent,PID04 –,GM04CLNT99
Water Repellent,PID04 -,ZZ04CONF99
Water Repellent,PID04 -,GM04CNLS99
Water Repellent,PID04 -,GM04COOK99
Water Repellent,PID04 -,GM04CRWN99
Water Repellent,PID04 -,GM04CFTP99
Water Repellent,PID04 -,GM04DNRC99
Water Repellent,PID04 -,GM04DRTP99
Water Repellent,PID04 -,JW04EATP99
Water Repellent,PID04 -,GM04EYES99
Water Repellent,PID04 -,GM04FILM99
Water Repellent,PID04 -,GM04FNSH99
Water Repellent,PID04 -,GM04FITT99
Water Repellent,PID04 -,GM04FLAT99
Water Repellent,PID04 -,GM04FORM99
Water Repellent,PID04 –,GM03FANMFX
Water Repellent,PID04 –,GM03FTMTDY
Water Repellent,PID04 -,GM04GAUG99
Water Repellent,PID04 -,ZZ04GEND99
Water Repellent,PID04 -,GM04HATS99
Water Repellent,PID04 -,GM04HLHT99
Water Repellent,PID04 -,GM04HLMT99
Water Repellent,PID04 -,GM04HLTY99
Water Repellent,PID04 -,ZZ04HOEV99
Water Repellent,PID04 -,GM04HOSO99
Water Repellent,PID04 -,JW04JWST99
Water Repellent,PID04 -,JW04JWLT99
Water Repellent,PID04 -,GM04KNIT99
Water Repellent,PID04 -,ZZ04LEAG99
Water Repellent,PID04 -,GM04LNTH99
Water Repellent,PID04 -,GM04LIND99
Water Repellent,PID04 –,GM03LIMTFC
Water Repellent,PID04 –,GM04LIMT99
Water Repellent,PID04 -,JW04METL99
Water Repellent,PID04 -,GM04MTLC99
Water Repellent,PID04 -,JW04NKLC99
Water Repellent,PID04 -,GM04NECK99
Water Repellent,PID04 -,GM04SETS99
Water Repellent,PID04 -,GM04OCCN99
Water Repellent,PID04 -,GM04OUTS99
Water Repellent,PID04 -,GM04PTSH99
Water Repellent,PID04 –,GM04PODE99
Water Repellent,PID04 -,GM04PDAP99
Water Repellent,PID04 -,GM04PDPL99
Water Repellent,PID04 -,GM04PDSZ9
Water Repellent,PID04 -,GM04PDTP99
Water Repellent,PID04 -,GM04PMTT99
Water Repellent,PID04 -,JW04RING99
Water Repellent,PID04 -,GM04RUGT99
Water Repellent,PID04 -,GM04SCTP99
Water Repellent,PID04 -,IA04SEAM99
Water Repellent,PID04 -,GM04SDAP99
Water Repellent,PID04 -,GM04SDPL99
Water Repellent,PID04 -,GM04SDSZ9
Water Repellent,PID04 -,GM04SDTP99
Water Repellent,PID04 -,GM04SMTT99
Water Repellent,PID04 -,ZZ04SELC99
Water Repellent,PID04 -,GM04SHPE99
Water Repellent,PID04 -,GM04SHOE99
